word,count
abutted,1
acumen,1
adjured,1
appertain,1
ballyhoo,1
blench,1
bohemian,1
bruit,1
calumnious,1
calumny,1
carouses,1
chiliast,1
choral,1
chorale,1
clarion,1
dalliance,1
demurred,1
diffidence,1
dirge,1
emulous,1
environs,1
equanimity,1
evinced,1
febrile,1
flummery,1
gable,1
gerunds,1
hack,1
holograph,1
incumbent,1
jejune,1
lackadaisical,1
languid,1
lugubrious,1
omphalos,1
ordure,1
pedant,1
perdition,1
perspicacious,1
phial,1
philistine,1
physiognomist,1
precocious,1
prosaic,1
reneged,1
rheum,1
ribald,1
scion,1
sinuous,1
verdure,1
wantonly,1
wiseacre,1
